name,brandName,regularPrice,finalPrice
WINSOR & NEWTON Series 7 Kolinsky Sable Miniature Brushes,WINSOR & NEWTON,10.87,10.87
Amaco Brent Rub 'n Buff The Original Wax Metallic Finish,Amaco Brent,3.03,3.03
WINSOR & NEWTON Artists' Water Colours,WINSOR & NEWTON,6.49,6.49
"ledgebay paint by number for adults framed canvas: beginner to advanced number painting kit - kits include acrylic paints, (4",Ledgebay,79.51,63.59
Jacquard Products Lumiere Fabric Paint 2 Oz. Jar: Brass,Jacquard,16.47,15.66
WINSOR & NEWTON Series 7 Kolinsky Sable Miniature Brushes,WINSOR & NEWTON,9.40,9.40
Crayola Washable Kids Paint,Crayola,3.24,3.24
Silver Brush Black Velvet Series Brushes,Silver Brush,14.69,14.69
Liquitex Painting Knives,Liquitex,6.59,6.59
Liquitex Professional Spray Paint,Liquitex,7.41,7.41
WINSOR & NEWTON Series 995 Aquarelle Golden Nylon Brushes,WINSOR & NEWTON,9.53,9.53
"Shuttle Art 72 pack acrylic paint set, shuttle art 60 colors acrylic paint including extra white black & 12 brushes, 2oz/60ml, rich pigme",Shuttle Art,89.21,71.33
Alto Crafto paint by numbers kit for adults - rainy day | diy paint by numbers landscape w/impressionist-style pastoral scene | pre-print,Alto Crafto,53.74,42.96
Broadsheet diamond painting kits for kids animal 5d diamond gem art by number dotz kits art and crafts for kids ages 6-8-10-12 girls boy,Broadsheet,47.95,38.34
"Modera large deluxe artist painting set, 139-piece professional art paint supplies kit w/aluminum field & wood table easel for adult",Modera,152.08,121.63
csy art gallery handmade watercolor paint set -colorshift water color set-professional shimmer metallic shifting watercolors-,CSY art gallery,76.82,61.44
jatok large diamond painting kits for adults (31.5 x 15.7 inch) diy 5d sea moon full round drill crystal rhinestone embroider,jatok,44.38,35.49
Liquitex Professional Spray Paint,Liquitex,7.41,7.41
Liquitex Professional Spray Paint,Liquitex,7.41,7.41
WINSOR & NEWTON Designers' Gouache,WINSOR & NEWTON,5.93,5.93
Liquitex Heavy Body Professional Artist Acrylic Colors,Liquitex,5.66,5.66
WINSOR & NEWTON Galeria Flow Formula Acrylic Colours,WINSOR & NEWTON,2.41,2.41
Jacquard Textile Colors,Jacquard,2.37,2.37
OXO 12241700 6 in. Dia. 24 in. Plastic Handle Good Grips Toilet Plunger & Canister&#44; White,OXO,89.29,43.76
Jacquard TEXTILE PAINT 2.25OZ SPRUCE,Jacquard,32.34,20.21
Silver Brush Black Velvet Series Brushes,Silver Brush,11.75,11.75
WINSOR & NEWTON Designers' Gouache,WINSOR & NEWTON,7.41,7.41
Liquitex Basics Acrylics Colors,Liquitex,6.12,6.12
WINSOR & NEWTON Artists' Water Colours,WINSOR & NEWTON,5.74,5.74
Liquitex Heavy Body Professional Artist Acrylic Colors,Liquitex,5.66,5.66
"WINSOR & NEWTON Winsor Newton Winsor  Newton Series 340 Pony  Goat Hair Short Handle Brush, 6",WINSOR & NEWTON,75.65,45.39
"pokehand custom paint by numbers kit, personalized photo to custom diy canvas oil painting make, personalized customized pbn,",POKEHAND,46.94,37.53
"THE PENCIL GRIP 604 The Pencil Grip™ KWIK STICK TEMPERA PAINT, 3.5"", ASSORTED COLORS, 24/PACK 604",The Pencil Grip,36.99,35.33
Markal 434-80222 Red B Paintstik Marker,Markal,55.86,27.52
"Crayola BINNEY & SMITH / CRAYOLA 543115053 Crayola® Artista Ii Washable Tempera Paint, White, 16 Oz Bottle 543115053",Crayola,14.99,13.38
Silver Brush Black Velvet Series Brushes,Silver Brush,9.09,9.09
WINSOR & NEWTON Winton Oil Colours,WINSOR & NEWTON,3.34,3.34
"Shuttle Art rock painting kit, shuttle art 6 colors acrylic pouring paint rock painting kit with white rocks, paint brush, transfer stick",Shuttle Art,40.63,32.49
Deco Art AMERICANA 2OZ CHARCOAL GREY,Deco Art,26.48,16.55
"Crayola BINNEY & SMITH / CRAYOLA 543115007 Crayola® Artista Ii Washable Tempera Paint, Brown, 16 Oz Bottle 543115007",Crayola,14.99,13.38
WINSOR & NEWTON Cotman Water Colour Brushes,WINSOR & NEWTON,2.94,2.94
Jacquard Textile Colors,Jacquard,2.37,2.37
Deco Art Americana Acrylic Paints,Deco Art,1.18,1.18
"LEGO Ideas International Space Station 21321 Building Kit, Adult Set for Display, Makes a Great Birthday Present, New 2020",LEGO,299.99,179.99
"Shuttle Art acrylic paint, shuttle art 24 colors acrylic paint bottle set, 250ml/8.45oz each, rich pigments, high viscosity, bulk paint f",Shuttle Art,92.44,73.91
"Testor's Testors 306006 Chalk Spray Paint Kit, 4 Colors, 6-oz. ea. - Quantity 1",Testor's,55.77,43.90
"dOvOb Nano Blocks Titanic Model Building Set with 2 Figure, 1872 Piece Mini Bricks Toy, Gift for Adults and Kids",dOvOb,43.73,39.73
"newsight diy oil painting paintworks paint by number for kids and adults (16''wx20''l , peony flower)",NewSight,42.51,33.99
"umpoe moon diamond painting kits,diamond art for adults,large wall art for aesthetic room decor(flowers 15x35 inch)",umpoe,34.49,27.59
Jacquard TEXTILE PAINT 2.25OZ FL PINK,Jacquard,25.43,19.56
Jacquard TEXTILE PAINT 2.25OZ FL GREEN,Jacquard,25.43,19.56
WINSOR & NEWTON Series 680 One Stroke Polyester Filament Brushes,WINSOR & NEWTON,10.53,10.53
WINSOR & NEWTON Designers' Gouache,WINSOR & NEWTON,9.69,9.69
WINSOR & NEWTON Liquin Fine Detail Medium,WINSOR & NEWTON,5.09,5.09
Pentel Aquash Water Brush,Pentel,3.63,3.63
WINSOR & NEWTON Cotman Water Colour Brushes,WINSOR & NEWTON,3.04,3.04
Jacquard Textile Colors,Jacquard,2.37,2.37
"hyporeak diamond painting kits for adults,bird diamond art kit,5d diamond painting kit full drill round for gift,wall decor,r",hyporeak,28.65,22.88
Henta 1 flexible translucent ldpe plastic sheet 48x24x1/30 (0.03) diy stencil cut-out,Henta,79.44,63.53
"The Mega Deals washable kids paint 10 colors, 10 no spill paint cups for kids with lids, 10 paint brush set, 1 waterproof kids smock - washa",The Mega Deals,60.03,47.99
"SAIVEN watercolor paint brushes, mop round squirrel hair paint brush set for art painting, gouache, fine detailing, acrylic, oil, ar",SAIVEN,56.28,44.99
"Pentel Aquash Water Brush Set, 4-Brushes",Pentel,55.15,39.39
"vigegu diamond painting kits for adults - diamond art kits with accessories & tools,landscape 5d paintings with diamond dots ",vigegu,46.26,36.99
passdone mickey and minnie mouse diamond art diy 5d diamond painting kits for adults and kids full drill arts craft by number kits for,passdone,41.25,32.99
Crayola 1121-8 No.8 Round Hair Brushes,Crayola,22.05,11.88
WINSOR & NEWTON Designers' Gouache,WINSOR & NEWTON,9.69,9.69
WINSOR & NEWTON Designers' Gouache,WINSOR & NEWTON,9.69,9.69
WINSOR & NEWTON Designers' Gouache,WINSOR & NEWTON,9.69,9.69
WINSOR & NEWTON Artists' Oil Colours,WINSOR & NEWTON,8.49,8.49
WINSOR & NEWTON Artists' Oil Colours,WINSOR & NEWTON,8.49,8.49
WINSOR & NEWTON Artists' Oil Colours,WINSOR & NEWTON,8.49,8.49
Silver Brush Silverwhite Series Synthetic Brushes Long Handle,Silver Brush,7.84,7.84
Liquitex Professional Spray Paint,Liquitex,7.41,7.41
Liquitex Professional Spray Paint,Liquitex,7.41,7.41
Liquitex Professional Spray Paint,Liquitex,7.41,7.41
Liquitex Professional Spray Paint,Liquitex,7.41,7.41
Liquitex Professional Spray Paint,Liquitex,7.41,7.41
WINSOR & NEWTON Designers' Gouache,WINSOR & NEWTON,7.41,7.41
WINSOR & NEWTON Designers' Gouache,WINSOR & NEWTON,7.41,7.41
WINSOR & NEWTON Galeria Flow Formula Acrylic Colours,WINSOR & NEWTON,6.94,6.94
WINSOR & NEWTON Galeria Flow Formula Acrylic Colours,WINSOR & NEWTON,6.94,6.94
WINSOR & NEWTON Galeria Flow Formula Acrylic Colours,WINSOR & NEWTON,6.94,6.94
Liquitex Painting Knives,Liquitex,6.59,6.59
Liquitex Painting Knives,Liquitex,6.59,6.59
WINSOR & NEWTON Designers' Gouache,WINSOR & NEWTON,5.93,5.93
WINSOR & NEWTON Designers' Gouache,WINSOR & NEWTON,5.93,5.93
WINSOR & NEWTON Designers' Gouache,WINSOR & NEWTON,5.93,5.93
WINSOR & NEWTON Designers' Gouache,WINSOR & NEWTON,5.93,5.93
WINSOR & NEWTON Designers' Gouache,WINSOR & NEWTON,5.93,5.93
WINSOR & NEWTON Designers' Gouache,WINSOR & NEWTON,5.93,5.93
WINSOR & NEWTON Designers' Gouache,WINSOR & NEWTON,5.93,5.93
Amsterdam Standard Series Acrylic Paint,Amsterdam,5.46,5.46
Pentel Aquash Water Brush,Pentel,4.88,4.88
Silver Brush Bristlon Series Brushes,Silver Brush,4.78,4.78
Silver Brush Black Velvet Series Brushes,Silver Brush,4.32,4.32
WINSOR & NEWTON University Series Long Handled Brushes,WINSOR & NEWTON,2.59,2.59
Jacquard Textile Colors,Jacquard,2.37,2.37
Jacquard Textile Colors,Jacquard,2.37,2.37
Jacquard Textile Colors,Jacquard,2.37,2.37
Deco Art Americana Acrylic Paints,Deco Art,1.18,1.18
"imyyds airbrush kit with compressor, 32psi high pressure cordless airbrush gun, portable dual action airbrush compressor set,",imyyds,135.60,108.47
Happy Dotting Company dotting tools for painting mandalas - happy dotting company - 16pc double ended super set for mandala dot art - includes styl,Happy Dotting Company,79.51,63.59
"master airbrush master performance g233 pro set with 3 nozzle sets (0.2, 0.3 & 0.5mm needles, fluid tips and air caps) - dual",Master Airbrush,79.51,63.59
ravensburger creart japanese spring paint by numbers kit for adults - painting arts and crafts for ages 14 and up,Ravensburger,61.35,49.04
Melissa & Doug Easel Pad Bundle 50 Sheets 2-Pack,Melissa & Doug,60.81,54.29
"KOYO ORIENT JAPAN CO.,LTD. musou black water-based acrylic paint - 100ml - made in japan - blackest black in the world","KOYO ORIENT JAPAN CO.,LTD.",59.33,47.43
"lanpo craft acrylic paints set - 24 colors art painting kit supplies for wood,canvas,fabric,rock,glass - non-toxic acrylic pa",Lanpo,55.65,44.49
toru window glass color crayon marker washable paper aqua non-toxic 24 colors,TORU,53.75,42.97
"Craft Smart michaels bulk 8 pack: acrylic paint by craft smart, 8oz.",Craft Smart,43.41,34.71
MasterPieces Works of Ahhh... Works of Ahhh Holiday craft Set - Nutcracker Drummer Wood Paint Kit,MasterPieces,54.40,32.64
Hulameda 56ps- 5d diamond painting accessories & tools kits for kids or adults to make diamond painting art,Hulameda,36.25,28.99
"mr. pen- airtight watercolor palette, 18 wells and 2 mixing areas, watercolor palette with lid, watercolor palette, paint pal",Mr. Pen,36.17,28.93
"zeyar white and black acrylic paint pen, water based, set of 7, extra fine point, great for rock painting, ceramic, glass, wo",ZEYAR,36.07,28.85
"Crayola Watercolors, 16 Assorted Colors, Palette Tray",Crayola,23.60,23.60
Golden Artist Colors - Light Molding Paste - 8 oz Jar,Golden,22.86,21.73
"Royal Brush Zen Series 83 Synthetic Watercolor with Scraper Short Handle Brush, Stiff Scrubber, 2",Royal Brush,25.51,18.22
"Shiva Jack Richeson Gold Shiva Oil Paintstik, Iridescent",Shiva,18.38,17.47
Liquitex 109912 Professional Freestyle Large Painting Knife No. 12,Liquitex,10.29,9.78
WINSOR & NEWTON Artists' Oil Colours,WINSOR & NEWTON,8.49,8.49
WINSOR & NEWTON Designers' Gouache,WINSOR & NEWTON,7.41,7.41
Liquitex Professional Spray Paint,Liquitex,7.41,7.41
Liquitex Professional Spray Paint,Liquitex,7.41,7.41
WINSOR & NEWTON Galeria Flow Formula Acrylic Colours,WINSOR & NEWTON,6.94,6.94
Liquitex Slow-Dri Blending Mediums,Liquitex,6.94,6.94
WINSOR & NEWTON Galeria Flow Formula Acrylic Colours,WINSOR & NEWTON,6.94,6.94
Createx Airbrush Opaque Base,Createx,6.94,6.94
Liquitex Professional Paint Markers,Liquitex,6.18,6.18
WINSOR & NEWTON Cotman Water Colour Brushes,WINSOR & NEWTON,5.81,5.81
Silver Brush Black Velvet Series Brushes,Silver Brush,5.60,5.60
Silver Brush Grand Prix Series 1003 Filbert Hog Bristle Brush,Silver Brush,5.38,5.38
Liquitex Glazing Medium,Liquitex,5.09,5.09
WINSOR & NEWTON Artisan Water Mixable Mediums,WINSOR & NEWTON,5.09,5.09
Silver Brush Black Velvet Series Brushes,Silver Brush,5.07,5.07
WINSOR & NEWTON University Series Long Handled Brushes,WINSOR & NEWTON,4.91,4.91
Pebeo Fantasy Moon Effect Paint,Pebeo,4.47,4.47
WINSOR & NEWTON Cotman Water Colour Brushes,WINSOR & NEWTON,4.44,4.44
WINSOR & NEWTON Cotman Water Colour Brushes,WINSOR & NEWTON,4.26,4.26
PRINCETON Series 4050 Synthetic Sable Watercolor Brushes,PRINCETON,3.79,3.79
WINSOR & NEWTON Cotman Water Colour Brushes,WINSOR & NEWTON,3.51,3.51
Amsterdam Standard Series Acrylic Paint,Amsterdam,3.06,3.06
